,Countries,"Cost of living, 2017",Global rank,Available data,Continent
0,Bermuda,225.86,1,2017 - 2017,America
1,Iceland,209.1,2,2017 - 2017,Europe
2,Switzerland,197.89,3,2017 - 2017,Europe
3,Norway,186.52,4,2017 - 2017,Europe
4,Denmark,171.78,5,2017 - 2017,Europe
5,Barbados,169.9,6,2017 - 2017,America
6,Australia,168.02,7,2017 - 2017,Oceania
7,Israel,167.52,8,2017 - 2017,Asia
8,New Zealand,160.18,9,2017 - 2017,Oceania
9,Bahamas,158.09,10,2017 - 2017,America
10,Ireland,157.19,11,2017 - 2017,Europe
11,Luxembourg,156.4,12,2017 - 2017,Europe
12,Sweden,155.01,13,2017 - 2017,Europe
13,Finland,151.13,14,2017 - 2017,Europe
14,Japan,144.44,15,2017 - 2017,Asia
15,UK,144.03,16,2017 - 2017,Europe
16,USA,143.34,17,2017 - 2017,America
17,Canada,142.12,18,2017 - 2017,America
18,Netherlands,137.57,19,2017 - 2017,Europe
19,Belgium,136.89,20,2017 - 2017,Europe
20,France,135.27,21,2017 - 2017,Europe
21,Austria,134.56,22,2017 - 2017,Europe
22,Ant.& Barb.,131.03,23,2017 - 2017,not found
23,Germany,127.47,24,2017 - 2017,Europe
24,Italy,124.24,25,2017 - 2017,Europe
25,Uruguay,124.24,26,2017 - 2017,America
26,South Korea,123.53,27,2017 - 2017,Asia
27,Aruba,118.56,28,2017 - 2017,America
28,Hong Kong,114.81,29,2017 - 2017,Asia
29,Spain,113.82,30,2017 - 2017,Europe
30,Qatar,113.61,31,2017 - 2017,Asia
31,Montserrat,112.43,32,2017 - 2017,America
32,Singapore,112.16,33,2017 - 2017,Asia
33,UA Emirates,110.65,34,2017 - 2017,Asia
34,Saint Lucia,110.38,35,2017 - 2017,America
35,Cyprus,108.2,36,2017 - 2017,Asia
36,Portugal,106.46,37,2017 - 2017,Europe
37,Belize,105.86,38,2017 - 2017,America
38,Chile,105.82,39,2017 - 2017,America
39,Greece,104.66,40,2017 - 2017,Europe
40,Brazil,104.54,41,2017 - 2017,America
41,Slovenia,103.47,42,2017 - 2017,Europe
42,Malta,101.71,43,2017 - 2017,Europe
43,Dominica,99.61,44,2017 - 2017,America
44,Estonia,96.58,45,2017 - 2017,Europe
45,St. Vincent & ...,95.93,46,2017 - 2017,America
46,Grenada,95.54,47,2017 - 2017,America
47,Seychelles,94.81,48,2017 - 2017,Africa
48,Costa Rica,94.13,49,2017 - 2017,America
49,Slovakia,93.82,50,2017 - 2017,Europe
50,Argentina,93.54,51,2017 - 2017,America
51,Angola,92.68,52,2017 - 2017,Africa
52,Maldives,91.24,53,2017 - 2017,Asia
53,Latvia,89.68,54,2017 - 2017,Europe
54,Tr.&Tobago,89.05,55,2017 - 2017,America
55,Kuwait,88.57,56,2017 - 2017,Asia
56,China,87.94,57,2017 - 2017,Asia
57,Djibouti,84.48,58,2017 - 2017,Africa
58,Czechia,83.97,59,2017 - 2017,Europe
59,Peru,83.26,60,2017 - 2017,America
60,Croatia,82.76,61,2017 - 2017,Europe
61,Ecuador,82.35,62,2017 - 2017,America
62,Lithuania,79.09,63,2017 - 2017,Europe
63,Oman,78.88,64,2017 - 2017,Asia
64,Jamaica,78.85,65,2017 - 2017,America
65,Gabon,78.6,66,2017 - 2017,Africa
66,Taiwan,78.15,67,2017 - 2017,Asia
67,Guyana,78.11,68,2017 - 2017,America
68,Bahrain,77.81,69,2017 - 2017,Asia
69,Hungary,77.19,70,2017 - 2017,Europe
70,C.A. Republic,75.56,71,2017 - 2017,not found
71,Eq. Guinea,74.93,72,2017 - 2017,Africa
72,Mauritius,74.87,73,2017 - 2017,Africa
73,Mexico,74.69,74,2017 - 2017,America
74,Namibia,74.28,75,2017 - 2017,Africa
75,El Salvador,73.82,76,2017 - 2017,America
76,Domin. Rep.,73.55,77,2017 - 2017,not found
77,Panama,72.83,78,2017 - 2017,America
78,Brunei,72.31,79,2017 - 2017,Asia
79,S.T.&Principe,70.92,80,2017 - 2017,not found
80,R. of Congo,70.42,81,2017 - 2017,not found
81,South Africa,70.41,82,2017 - 2017,Africa
82,Comoros,70.11,83,2017 - 2017,Africa
83,Poland,70.08,84,2017 - 2017,Europe
84,Haiti,70.01,85,2017 - 2017,America
85,Cape Verde,69.79,86,2017 - 2017,Africa
86,Zimbabwe,69.53,87,2017 - 2017,Africa
87,Botswana,69.39,88,2017 - 2017,Africa
88,Colombia,68.94,89,2017 - 2017,America
89,Fiji,68.38,90,2017 - 2017,Oceania
90,Montenegro,67.81,91,2017 - 2017,Europe
91,Jordan,66.64,92,2017 - 2017,Asia
92,Saudi Arabia,65.89,93,2017 - 2017,Asia
93,Honduras,65.87,94,2017 - 2017,America
94,Swaziland,65.77,95,2017 - 2017,Africa
95,Paraguay,65.46,96,2017 - 2017,America
96,Bosnia & Herz.,64.74,97,2017 - 2017,Europe
97,Turkey,64.7,98,2017 - 2017,Asia
98,Serbia,64.05,99,2017 - 2017,Europe
99,Romania,63.98,100,2017 - 2017,Europe
100,Zambia,63.6,101,2017 - 2017,Africa
101,Morocco,63.47,102,2017 - 2017,Africa
102,Iraq,63.39,103,2017 - 2017,Asia
103,Russia,61.96,104,2017 - 2017,Europe
104,DR Congo,61.73,105,2017 - 2017,Africa
105,Liberia,61.04,106,2017 - 2017,Africa
106,Bulgaria,60.89,107,2017 - 2017,Europe
107,Ivory Coast,60.86,108,2017 - 2017,Africa
108,Albania,60.79,109,2017 - 2017,Europe
109,Togo,60.73,110,2017 - 2017,Africa
110,Niger,60.37,111,2017 - 2017,Africa
111,Iran,60.16,112,2017 - 2017,Asia
112,Senegal,58.75,113,2017 - 2017,Africa
113,Chad,58.53,114,2017 - 2017,Africa
114,Cameroon,58.34,115,2017 - 2017,Africa
115,North Macedonia,58.3,116,2017 - 2017,Europe
116,Kenya,57.71,117,2017 - 2017,Africa
117,Ghana,57.69,118,2017 - 2017,Africa
118,Malaysia,57.56,119,2017 - 2017,Asia
119,G.-Bissau,57.18,120,2017 - 2017,not found
120,Lesotho,56.38,121,2017 - 2017,Africa
121,Thailand,56.12,122,2017 - 2017,Asia
122,Suriname,55.71,123,2017 - 2017,America
123,Philippines,55.15,124,2017 - 2017,Asia
124,Kazakhstan,55.08,125,2017 - 2017,Asia
125,Nicaragua,54.99,126,2017 - 2017,America
126,Indonesia,54.52,127,2017 - 2017,Asia
127,Burundi,54.25,128,2017 - 2017,Africa
128,Benin,54.05,129,2017 - 2017,Africa
129,Bolivia,53.79,130,2017 - 2017,America
130,Laos,53.79,131,2017 - 2017,Asia
131,Georgia,52.82,132,2017 - 2017,Asia
132,Cambodia,52.69,133,2017 - 2017,Asia
133,Bangladesh,52.6,134,2017 - 2017,Asia
134,Nigeria,52.55,135,2017 - 2017,Africa
135,Sri Lanka,52.19,136,2017 - 2017,Asia
136,Mongolia,51.32,137,2017 - 2017,Asia
137,Ethiopia,51.03,138,2017 - 2017,Africa
138,Rwanda,50.63,139,2017 - 2017,Africa
139,Mali,50.55,140,2017 - 2017,Africa
140,Guinea,50.48,141,2017 - 2017,Africa
141,Vietnam,50.03,142,2017 - 2017,Asia
142,Mauritania,49.9,143,2017 - 2017,Africa
143,Armenia,49.68,144,2017 - 2017,Asia
144,Mozambique,49.57,145,2017 - 2017,Africa
145,Moldova,49.48,146,2017 - 2017,Europe
146,Algeria,49.36,147,2017 - 2017,Africa
147,Burkina Faso,49.19,148,2017 - 2017,Africa
148,Tanzania,48.53,149,2017 - 2017,Africa
149,Uganda,48.47,150,2017 - 2017,Africa
150,Malawi,47.49,151,2017 - 2017,Africa
151,Gambia,46.48,152,2017 - 2017,Africa
152,Belarus,45.75,153,2017 - 2017,Europe
153,Pakistan,45.2,154,2017 - 2017,Asia
154,Bhutan,45.07,155,2017 - 2017,Asia
155,Madagascar,44.3,156,2017 - 2017,Africa
156,Tunisia,43.98,157,2017 - 2017,Africa
157,Tajikistan,43.51,158,2017 - 2017,Asia
158,India,42.86,159,2017 - 2017,Asia
159,Nepal,41.85,160,2017 - 2017,Asia
160,Sierra Leone,41.32,161,2017 - 2017,Africa
161,Burma,41.08,162,2017 - 2017,Asia
162,Azerbaijan,40.56,163,2017 - 2017,Asia
163,Kyrgyzstan,40.38,164,2017 - 2017,Asia
164,Sudan,38.29,165,2017 - 2017,Africa
165,Ukraine,37.76,166,2017 - 2017,Europe
166,Egypt,27.37,167,2017 - 2017,Africa
